rank,graph6,alpha,theta_scs,delta_scs,edges,pr_scs,status_scs
45,GCQbR_,3,3.23606798,0.23606798,10,7.993605777301127e-15,optimal
46,GCQbRo,3,3.23606798,0.23606798,11,2.5507131655752416e-13,optimal
47,GCQbUW,3,3.23606798,0.23606798,11,1.0597829164880825e-12,optimal
48,GCQbbc,3,3.23606798,0.23606798,11,5.450352473501475e-14,optimal
49,GCQbbo,3,3.23606798,0.23606798,11,3.479378545908366e-14,optimal
50,GCQbbs,3,3.23606798,0.23606798,12,4.440892098500626e-16,optimal
51,GCQbcs,3,3.23606798,0.23606798,11,3.3613493666675914e-13,optimal
52,GCQbdK,3,3.23606798,0.23606798,11,1.2580970793056656e-13,optimal
53,GCQbdW,3,3.23606798,0.23606798,11,2.8427245816751463e-13,optimal
54,GCQbd[,3,3.23606798,0.23606798,12,4.8362623080893467e-14,optimal
55,GCQbdc,3,3.23606798,0.23606798,11,1.1757128854356828e-12,optimal
56,GCQbds,3,3.23606798,0.23606798,12,4.440892098500626e-16,optimal
57,GCQbdw,3,3.23606798,0.23606798,12,2.886579864025407e-15,optimal
58,GCQbd{,3,3.23606798,0.23606798,13,1.9984014443252818e-15,optimal
59,GCQbeO,3,3.23606798,0.23606798,10,1.1102230246251565e-16,optimal
60,GCQbeS,3,3.23606798,0.23606798,11,1.530594524712729e-13,optimal
61,GCQbeW,3,3.23606798,0.23606798,11,1.200955100221052e-13,optimal
62,GCQbe[,3,3.23606798,0.23606798,12,2.5647223550112254e-13,optimal
63,GCQbec,3,3.23606798,0.23606798,11,4.440892098500626e-16,optimal
64,GCQbeo,3,3.23606798,0.23606798,11,4.440892098500626e-16,optimal
65,GCQbes,3,3.23606798,0.23606798,12,6.661338147750939e-16,optimal
66,GCQbfG,3,3.23606798,0.23606798,11,9.898826384736036e-14,optimal
67,GCQbfK,3,3.23606798,0.23606798,12,1.3192063502794486e-12,optimal
68,GCQbfO,3,3.23606798,0.23606798,11,4.440892098500626e-16,optimal
69,GCQbfS,3,3.23606798,0.23606798,12,3.034545727237137e-14,optimal
70,GCQbf[,3,3.23606798,0.23606798,13,2.250729304141864e-14,optimal
71,GCQbfc,3,3.23606798,0.23606798,12,2.1049928529332562e-14,optimal
72,GCQbfg,3,3.23606798,0.23606798,12,5.995204332975845e-15,optimal
73,GCQbfs,3,3.23606798,0.23606798,13,1.4773269382795868e-13,optimal
74,GCQbf{,3,3.23606798,0.23606798,14,1.192900477742081e-13,optimal
75,GCQbro,3,3.23606798,0.23606798,12,3.857890009644728e-15,optimal
76,GCQuQo,3,3.23606798,0.23606798,11,7.500157939493928e-15,optimal
77,GCQuQw,3,3.23606798,0.23606798,12,9.2685975051613e-15,optimal
78,GCQucw,3,3.23606798,0.23606798,12,2.209530456850015e-14,optimal
79,GCQudo,3,3.23606798,0.23606798,12,7.130006189181173e-14,optimal
80,GCQvCs,3,3.23606798,0.23606798,12,2.5299917211845427e-14,optimal
81,GCQvDW,3,3.23606798,0.23606798,12,2.2501132100752202e-13,optimal
82,GCQvEc,3,3.23606798,0.23606798,12,3.26183524634871e-13,optimal
83,GCRSrK,3,3.23606798,0.23606798,12,1.917942807925948e-14,optimal
84,GCRStK,3,3.23606798,0.23606798,12,2.7524752579091142e-14,optimal
85,GCRSvK,3,3.23606798,0.23606798,13,1.065876610767479e-13,optimal
86,GCRSvg,3,3.23606798,0.23606798,13,2.220446049250313e-16,optimal
87,GCRSvk,3,3.23606798,0.23606798,14,9.814181402451408e-13,optimal
88,GCRSvo,3,3.23606798,0.23606798,13,3.47800298476169e-15,optimal
89,GCRSvw,3,3.23606798,0.23606798,14,1.7807535498927983e-14,optimal
90,GCRVBg,3,3.23606798,0.23606798,12,1.5827462777297606e-12,optimal
91,GCR`rg,3,3.23606798,0.23606798,12,1.3786270536532974e-12,optimal
92,GCR`u_,3,3.23606798,0.23606798,11,3.18953639904434e-13,optimal
93,GCR`v_,3,3.23606798,0.23606798,12,1.0174979009355465e-13,optimal
94,GCRbb[,3,3.23606798,0.23606798,13,1.445655760055278e-12,optimal
95,GCRbcw,3,3.23606798,0.23606798,12,2.591052469689627e-13,optimal
96,GCRbc{,3,3.23606798,0.23606798,13,1.2801882831126523e-14,optimal
97,GCRbdK,3,3.23606798,0.23606798,12,1.3770730841954635e-14,optimal
98,GCRbd[,3,3.23606798,0.23606798,13,5.539024510290021e-14,optimal
99,GCRbdg,3,3.23606798,0.23606798,12,1.4827780813826588e-13,optimal
100,GCRbdk,3,3.23606798,0.23606798,13,1.288610403882192e-13,optimal
101,GCRbdw,3,3.23606798,0.23606798,13,5.625500065775668e-13,optimal
102,GCRbd{,3,3.23606798,0.23606798,14,1.509903313490213e-14,optimal
103,GCRbe[,3,3.23606798,0.23606798,13,1.1102230246251565e-15,optimal
104,GCRbek,3,3.23606798,0.23606798,13,2.220446049250313e-16,optimal
